I,II,V1,V2,V3,V4,V5,V6,status,x
-23,-36,0,-17,-50,-53,-49,-43,0,597
-30,-44,6,-12,-46,-56,-56,-50,0,598
-35,-50,15,-4,-37,-54,-61,-55,0,599
-40,-54,26,7,-19,-45,-62,-57,0,600
-42,-54,40,23,8,-29,-56,-55,0,601
-41,-49,56,45,45,-2,-43,-47,0,602
-36,-38,74,71,92,36,-22,-32,0,603
-26,-19,93,102,149,84,8,-10,0,604
-10,8,112,136,216,144,48,22,0,605
10,44,131,172,290,214,100,61,0,606
36,88,147,207,368,294,160,109,0,607
68,140,159,239,446,380,229,166,0,608
106,200,166,266,522,469,305,228,0,609
147,265,166,284,589,557,383,294,0,610
191,334,159,291,645,641,462,362,0,611
236,403,143,285,685,716,539,428,0,612
281,470,117,263,705,778,608,491,0,613
322,532,82,225,703,824,668,546,0,614
359,586,38,171,678,851,715,592,0,615
390,629,-11,101,630,857,746,627,0,616
413,659,-68,18,560,842,761,647,0,617
428,676,-129,-74,471,805,757,653,0,618
433,677,-191,-174,367,749,736,644,0,619
428,663,-252,-277,252,675,699,621,0,620
413,634,-309,-377,133,588,647,585,0,621
390,592,-359,-470,15,492,583,538,1024,622
360,540,-399,-551,-97,391,510,482,0,623
324,479,-430,-617,-197,289,431,420,0,624
283,412,-448,-665,-283,192,351,354,0,625
240,342,-453,-693,-349,102,273,288,0,626
196,273,-446,-700,-396,24,198,225,0,627
153,206,-428,-686,-422,-43,131,165,0,628
112,145,-399,-654,-429,-95,72,112,0,629
76,90,-363,-606,-418,-132,24,66,0,630
44,44,-320,-546,-392,-156,-14,28,0,631
18,6,-273,-476,-354,-167,-43,-2,0,632
-2,-24,-226,-402,-309,-167,-62,-24,0,633
-18,-45,-179,-327,-259,-159,-73,-39,0,634
-29,-58,-134,-254,-207,-144,-76,-48,0,635
-35,-65,-94,-186,-158,-124,-75,-52,0,636
-38,-66,-59,-125,-113,-103,-69,-52,0,637
-38,-63,-29,-73,-73,-82,-61,-49,0,638
-35,-57,-6,-31,-40,-61,-51,-44,0,639
-32,-50,9,1,-14,-43,-41,-38,0,640
-27,-42,21,24,6,-28,-32,-33,0,641
-22,-34,29,40,19,-16,-24,-27,0,642
-17,-26,32,49,27,-7,-17,-22,0,643
-12,-19,33,52,30,0,-11,-18,0,644
-8,-14,31,52,31,3,-7,-14,0,645
-5,-10,29,49,29,5,-4,-12,0,646
-3,-7,25,44,26,6,-2,-10,0,647
-1,-5,22,38,23,5,-1,-9,0,648
0,-3,18,33,19,4,-1,-9,0,649
0,-3,15,27,16,2,-1,-9,0,650
0,-3,13,23,13,0,-1,-9,0,651
0,-3,11,19,10,-1,-1,-9,0,652
0,-4,10,16,9,-2,-2,-9,0,653
0,-4,9,14,8,-3,-2,-9,0,654
0,-4,8,13,7,-4,-2,-9,0,655
0,-5,8,12,7,-4,-2,-9,0,656
0,-5,8,12,7,-4,-2,-9,0,657
0,-5,8,12,7,-4,-2,-10,0,658
0,-5,8,12,7,-4,-2,-10,0,659
0,-5,8,12,7,-4,-2,-10,0,660
0,-5,8,12,7,-4,-2,-10,0,661
0,-5,8,12,7,-4,-2,-9,0,662
0,-5,8,12,8,-3,-2,-9,0,663
0,-5,8,12,8,-3,-2,-9,0,664
0,-5,8,12,8,-3,-2,-9,0,665
0,-4,8,12,8,-3,-2,-9,0,666
0,-4,8,12,8,-3,-2,-9,0,667
0,-4,8,12,8,-2,-2,-9,0,668
0,-4,8,12,8,-2,-2,-9,0,669
0,-4,8,12,8,-2,-2,-8,0,670
0,-4,8,12,8,-2,-2,-8,0,671
0,-4,8,12,8,-2,-2,-8,0,672
0,-4,8,12,8,-2,-2,-8,0,673
0,-3,8,12,9,-2,-1,-8,0,674
0,-3,7,12,9,-1,-1,-8,0,675
0,-3,7,12,9,-1,-1,-8,0,676
0,-3,7,12,9,-1,-1,-8,0,677
0,-3,7,12,9,-1,-1,-8,0,678
0,-3,7,11,9,-1,-1,-8,0,679
0,-3,7,11,9,-1,-1,-7,0,680
0,-3,7,11,9,0,-1,-7,0,681
0,-3,7,11,9,0,-1,-7,0,682
0,-3,7,11,9,0,-1,-7,0,683
0,-3,7,11,9,0,-1,-8,0,684
0,-3,6,11,8,0,-1,-8,0,685
0,-3,6,11,8,-1,-1,-8,0,686
0,-3,6,10,7,-1,-1,-8,0,687
0,-3,6,10,7,-1,-1,-8,0,688
0,-3,6,10,6,-1,-2,-8,0,689
0,-3,6,10,5,-2,-2,-8,0,690
0,-4,6,10,5,-2,-2,-8,0,691
0,-4,6,10,5,-2,-2,-8,0,692
0,-3,5,10,5,-2,-2,-8,0,693
0,-3,5,10,6,-1,-2,-8,0,694
0,-3,5,10,8,0,-2,-7,0,695
1,-1,6,11,10,1,-1,-6,0,696
2,0,6,12,14,4,0,-4,0,697
4,2,7,13,19,7,0,-2,0,698
6,5,7,15,25,11,2,0,0,699
9,9,9,17,32,17,4,3,0,700
12,13,10,20,41,23,7,6,0,701
16,18,12,23,50,31,10,10,0,702
21,24,14,27,62,39,14,15,0,703
25,31,16,31,75,49,19,20,0,704
31,39,19,36,89,60,24,26,0,705
37,46,22,42,104,72,30,32,0,706
44,55,25,48,121,85,36,37,0,707
51,65,29,54,138,99,44,44,0,708
59,75,32,62,156,114,50,51,0,709
67,86,36,70,174,129,59,59,0,710
75,97,40,78,193,145,67,66,0,711
84,108,44,87,213,162,77,74,0,712
92,119,48,96,232,179,86,82,0,713
101,130,51,106,251,196,97,89,0,714
109,141,55,117,270,213,107,97,0,715
117,152,59,127,289,230,118,105,0,716
125,163,62,138,308,247,129,112,0,717
133,174,65,150,326,264,140,120,0,718
141,184,69,161,343,280,152,127,0,719
148,194,72,172,360,296,163,134,0,720
156,204,74,183,377,311,174,141,0,721
162,214,77,194,392,325,185,147,0,722
169,223,80,205,407,338,195,154,0,723
176,231,82,215,421,351,205,159,0,724
182,240,84,224,434,363,215,165,0,725
187,247,87,233,447,374,224,170,0,726
193,255,89,241,459,384,232,175,0,727
198,262,91,249,470,394,239,180,0,728
202,268,92,255,480,403,246,184,0,729
207,274,94,261,490,411,251,188,0,730
211,279,95,266,499,418,257,191,0,731
214,284,97,270,507,425,261,194,0,732
217,289,98,274,514,431,265,197,0,733
220,292,99,277,521,436,268,199,0,734
222,296,100,280,527,441,271,201,0,735
224,298,101,282,531,445,273,203,0,736
226,301,102,284,535,448,275,204,0,737
227,302,103,285,538,451,277,205,0,738
228,304,103,287,540,452,278,206,0,739
229,304,104,287,540,453,279,206,0,740
230,304,104,288,539,453,280,206,0,741
230,304,104,288,537,452,280,206,0,742
230,303,104,288,534,451,280,205,0,743
229,302,104,288,529,448,280,204,0,744
228,300,104,287,523,444,279,203,0,745
226,298,103,285,515,438,277,201,0,746
224,295,102,283,507,432,276,199,0,747
222,291,101,281,497,424,273,196,0,748
218,287,99,278,486,416,270,194,0,749
214,282,97,274,474,406,267,190,0,750
210,277,95,270,461,395,263,187,0,751
205,270,92,265,447,383,258,183,0,752
199,263,89,259,432,369,252,178,0,753
193,256,86,253,416,355,246,173,0,754
186,247,82,246,400,340,239,167,0,755
178,238,78,238,382,325,232,161,0,756
170,228,74,230,364,308,224,154,0,757
161,217,69,220,345,291,215,146,0,758
152,206,65,211,325,273,205,138,0,759
143,194,60,200,305,255,195,130,0,760
133,181,55,189,284,236,183,121,0,761
123,168,51,177,262,217,172,112,0,762
113,154,46,164,239,197,159,103,0,763
102,141,41,151,216,178,146,93,0,764
92,127,36,137,194,158,133,83,0,765
81,113,32,123,171,138,120,74,0,766
71,99,27,109,148,119,106,64,0,767
61,86,23,96,126,100,92,55,0,768
51,73,18,82,105,82,79,46,0,769
41,60,14,69,85,65,66,37,0,770
33,49,10,57,66,49,53,30,0,771
25,38,7,45,49,35,42,22,0,772
18,28,4,34,34,22,31,15,0,773
11,19,1,25,20,10,22,8,0,774
5,11,0,16,8,0,13,3,0,775
0,3,-1,9,-2,-9,5,-3,0,776
-3,-3,-3,4,-11,-16,-1,-7,0,777
-6,-8,-4,-1,-18,-21,-6,-11,0,778
-9,-12,-5,-5,-23,-25,-10,-14,0,779
-11,-16,-6,-8,-27,-28,-14,-17,0,780
-13,-18,-6,-11,-29,-30,-16,-19,0,781
-14,-20,-6,-12,-31,-31,-18,-20,0,782
-14,-21,-7,-14,-32,-32,-19,-21,0,783
-15,-22,-7,-14,-32,-32,-19,-21,0,784
-15,-22,-6,-14,-32,-31,-19,-21,0,785
-15,-22,-6,-14,-31,-30,-19,-21,0,786
-15,-21,-6,-14,-30,-29,-19,-20,0,787
-15,-21,-6,-13,-29,-28,-19,-19,0,788
-15,-21,-6,-13,-28,-27,-18,-19,0,789
-15,-20,-5,-12,-28,-27,-18,-18,0,790
-15,-19,-5,-12,-27,-26,-17,-17,0,791
-15,-19,-5,-11,-26,-25,-17,-17,0,792
-15,-18,-5,-11,-26,-25,-17,-16,0,793
-15,-18,-5,-10,-25,-24,-16,-16,0,794
-15,-17,-5,-10,-25,-24,-16,-15,0,795
-15,-17,-4,-10,-24,-24,-16,-15,0,796
-15,-17,-4,-9,-24,-23,-15,-15,0,797
-14,-16,-4,-9,-24,-23,-15,-14,0,798
-14,-15,-4,-9,-23,-22,-14,-14,0,799
-14,-15,-4,-9,-23,-22,-14,-14,0,800
-13,-14,-4,-9,-22,-21,-13,-14,0,801
-13,-14,-4,-9,-22,-21,-13,-14,0,802
-13,-13,-4,-9,-21,-20,-12,-14,0,803
-12,-13,-4,-9,-21,-20,-11,-14,0,804
-12,-12,-4,-9,-20,-19,-11,-14,0,805
-12,-12,-4,-9,-20,-19,-11,-14,0,806
-11,-11,-4,-9,-19,-19,-10,-14,0,807
-11,-11,-4,-9,-19,-18,-10,-14,0,808
-11,-11,-4,-9,-19,-18,-10,-14,0,809
-11,-10,-4,-9,-19,-18,-10,-14,0,810
-11,-10,-4,-9,-19,-18,-9,-14,0,811
-11,-10,-4,-9,-19,-18,-9,-14,0,812
-11,-10,-4,-9,-19,-17,-9,-14,0,813
-11,-10,-4,-9,-18,-17,-9,-14,0,814
-11,-10,-4,-9,-18,-17,-9,-14,0,815
-11,-10,-4,-9,-18,-17,-9,-14,0,816
-11,-9,-4,-9,-18,-17,-9,-14,0,817
-11,-9,-4,-9,-18,-17,-9,-14,0,818
-11,-9,-3,-8,-18,-17,-8,-14,0,819
-11,-9,-3,-8,-18,-16,-8,-14,0,820
-11,-9,-3,-8,-17,-16,-8,-13,0,821
-11,-9,-3,-8,-17,-16,-8,-13,0,822
-11,-9,-3,-8,-17,-16,-8,-13,0,823
-11,-9,-3,-8,-17,-16,-8,-13,0,824
-10,-9,-3,-8,-17,-16,-8,-13,0,825
-10,-9,-3,-8,-17,-16,-8,-13,0,826
-10,-9,-3,-8,-16,-16,-8,-13,0,827
-10,-9,-3,-8,-16,-16,-7,-13,0,828
-10,-9,-3,-8,-16,-16,-7,-13,0,829
-10,-8,-3,-8,-16,-16,-7,-13,0,830
-10,-8,-3,-8,-16,-16,-7,-13,0,831
-10,-8,-3,-8,-15,-15,-7,-13,0,832
-9,-8,-3,-7,-15,-15,-7,-12,0,833
-9,-8,-3,-7,-15,-15,-7,-12,0,834
-9,-8,-3,-7,-15,-15,-7,-13,0,835
-9,-8,-3,-7,-15,-15,-7,-13,0,836
-9,-7,-3,-7,-15,-15,-6,-13,0,837
-9,-7,-2,-7,-15,-14,-6,-13,0,838
-8,-7,-2,-7,-15,-14,-6,-13,0,839
-8,-7,-2,-7,-14,-14,-6,-13,0,840
-8,-7,-2,-6,-14,-14,-6,-13,0,841
-8,-7,-2,-6,-14,-14,-6,-12,0,842
-8,-7,-2,-6,-14,-14,-6,-12,0,843
-8,-6,-2,-6,-14,-13,-6,-12,0,844
-8,-6,-2,-6,-14,-13,-5,-12,0,845
-8,-6,-2,-6,-14,-13,-5,-12,0,846
-8,-6,-2,-6,-14,-13,-5,-12,0,847
-8,-6,-2,-6,-14,-13,-5,-12,0,848
-7,-6,-2,-6,-14,-13,-5,-12,0,849
-7,-6,-2,-6,-13,-13,-5,-11,0,850
-7,-6,-2,-6,-13,-13,-5,-11,0,851
-7,-6,-2,-6,-13,-12,-4,-11,0,852
-7,-5,-2,-6,-13,-12,-4,-11,0,853
-7,-5,-2,-6,-13,-12,-4,-11,0,854
-7,-5,-2,-6,-13,-12,-4,-11,0,855
-7,-5,-2,-6,-13,-12,-4,-11,0,856
-7,-5,-2,-6,-13,-12,-4,-11,0,857
-7,-5,-1,-6,-12,-12,-4,-11,0,858
-7,-5,-1,-6,-12,-12,-4,-11,0,859
-7,-5,-1,-6,-12,-11,-4,-11,0,860
-6,-5,-1,-6,-12,-11,-4,-11,0,861
-6,-5,-1,-6,-12,-11,-4,-11,0,862
-6,-4,-1,-5,-12,-11,-4,-10,0,863
-6,-4,-1,-5,-12,-11,-4,-10,0,864
-6,-4,-2,-5,-12,-11,-3,-10,0,865
-6,-4,-2,-5,-12,-11,-3,-10,0,866
-6,-4,-2,-5,-12,-11,-3,-10,0,867
-6,-4,-2,-5,-12,-10,-3,-10,0,868
-6,-4,-2,-5,-11,-10,-3,-10,0,869
-6,-4,-2,-5,-11,-10,-3,-10,0,870
-6,-4,-1,-5,-11,-10,-3,-10,0,871
-6,-4,-1,-5,-11,-10,-3,-10,0,872
-6,-4,-1,-5,-11,-10,-3,-10,0,873
-6,-4,-1,-5,-11,-10,-2,-10,0,874
-6,-4,-1,-5,-11,-10,-2,-10,0,875
-5,-4,-1,-5,-10,-10,-2,-10,0,876
-5,-4,-1,-5,-10,-9,-2,-10,0,877
-5,-3,-1,-4,-10,-9,-2,-10,0,878
-5,-3,-1,-4,-10,-9,-2,-10,0,879
-5,-3,-1,-4,-10,-9,-2,-10,0,880
-5,-3,-1,-4,-10,-9,-2,-9,0,881
-5,-3,-1,-4,-10,-9,-2,-9,0,882
-5,-3,-1,-4,-10,-9,-2,-9,0,883
-5,-3,-1,-4,-9,-9,-2,-9,0,884
-5,-3,-1,-4,-9,-9,-2,-9,0,885
-5,-3,-1,-4,-9,-8,-2,-9,0,886
-5,-3,-1,-4,-9,-8,-2,-9,0,887
-5,-3,-1,-4,-9,-8,-2,-9,0,888
-5,-3,-1,-4,-9,-8,-2,-9,0,889
-5,-3,-1,-4,-8,-8,-2,-9,0,890
-5,-2,-1,-4,-8,-8,-2,-9,0,891
-5,-2,-1,-4,-8,-8,-2,-9,0,892
-5,-2,-1,-4,-8,-7,-2,-9,0,893
-5,-2,-1,-4,-8,-7,-1,-9,0,894
-5,-2,0,-4,-8,-7,-1,-9,0,895
-4,-2,0,-4,-8,-7,-1,-8,0,896
-4,-1,0,-3,-8,-7,-1,-8,0,897
-4,-1,0,-3,-7,-7,-1,-8,0,898
-4,-1,0,-3,-7,-7,-1,-8,0,899
-4,-1,0,-3,-7,-7,-1,-8,0,900
-4,-1,0,-3,-7,-6,-1,-8,0,901
-4,-1,0,-3,-7,-6,-1,-8,0,902
-4,-1,0,-3,-7,-6,-1,-8,0,903
-4,-1,0,-3,-7,-6,-1,-8,0,904
-4,-1,0,-3,-7,-6,-1,-8,0,905
-4,-1,0,-3,-7,-6,-1,-8,0,906
-4,-1,0,-3,-6,-6,-1,-8,0,907
-4,-1,0,-3,-6,-5,-1,-8,0,908
-4,-1,0,-3,-6,-5,-1,-8,0,909
-4,-1,0,-2,-6,-5,-1,-8,0,910
-4,-1,0,-2,-6,-5,-1,-8,0,911
-4,-1,0,-2,-6,-5,-1,-8,0,912
-4,-1,0,-2,-6,-5,0,-8,0,913
-3,0,0,-2,-6,-5,0,-8,0,914
-3,0,0,-2,-6,-4,0,-8,0,915
-3,0,0,-2,-6,-4,0,-7,0,916
-3,0,0,-2,-5,-4,0,-7,0,917
-3,0,0,-2,-5,-4,0,-7,0,918
-3,0,0,-2,-5,-4,0,-7,0,919
-3,0,0,-2,-5,-4,0,-7,0,920
-3,0,0,-2,-5,-4,0,-7,0,921
-3,0,0,-2,-5,-4,0,-7,0,922
-4,0,0,-1,-5,-4,0,-7,0,923
-4,1,0,-1,-5,-4,0,-7,0,924
-4,1,0,-1,-4,-3,0,-7,0,925
-4,1,0,-1,-4,-3,0,-7,0,926
-4,1,0,-1,-4,-3,0,-7,0,927
-3,1,0,-1,-4,-3,0,-6,0,928
-3,1,0,-1,-4,-3,0,-6,0,929
-3,1,0,-1,-4,-2,0,-6,0,930
-3,1,0,-1,-3,-2,0,-6,0,931
-3,1,0,-1,-3,-2,0,-6,0,932
-3,1,0,-1,-3,-2,0,-6,0,933
-3,1,0,-1,-3,-2,0,-6,0,934
-3,1,0,-1,-3,-2,0,-6,0,935
-3,1,0,-1,-3,-2,0,-6,0,936
-3,1,0,-1,-3,-2,0,-6,0,937
-3,1,0,-1,-2,-1,0,-6,0,938
-3,1,0,-1,-2,-1,0,-6,0,939
-3,1,0,-1,-2,-1,0,-6,0,940
-3,1,0,-1,-2,-1,0,-6,0,941
-3,1,0,-1,-2,-1,0,-6,0,942
-3,1,0,-1,-2,-1,0,-6,0,943
-2,1,0,-1,-2,-1,0,-6,0,944
-2,1,0,-1,-2,-1,0,-6,0,945
-2,1,0,-1,-2,-1,0,-6,0,946
-2,1,0,0,-2,-1,0,-6,0,947
-2,1,0,0,-2,0,1,-5,0,948
-2,2,0,0,-2,0,1,-5,0,949
-2,2,0,0,-2,0,1,-5,0,950
-2,2,0,0,-2,0,1,-5,0,951
-2,2,0,0,-1,0,1,-5,0,952
-2,2,0,0,-1,0,1,-5,0,953
-2,2,0,0,-1,0,1,-5,0,954
-2,2,0,0,-1,0,1,-5,0,955
-2,2,0,0,-1,0,1,-5,0,956
-1,2,0,0,-1,0,1,-5,0,957
-1,2,0,0,-1,0,1,-5,0,958
-1,2,0,0,-1,0,1,-5,0,959
-1,2,0,0,-1,1,1,-5,0,960
-1,2,0,0,-1,1,1,-5,0,961
-1,2,0,0,0,1,1,-5,0,962
-1,2,0,0,0,1,2,-4,0,963
-1,2,0,0,0,1,2,-4,0,964
-1,3,0,0,0,1,2,-4,0,965
-1,3,0,0,0,1,2,-4,0,966
-1,3,0,0,0,1,2,-4,0,967
-1,3,0,0,0,2,2,-4,0,968
-1,3,0,0,1,2,2,-4,0,969
-1,3,0,0,1,2,2,-4,0,970
0,3,0,1,1,2,3,-4,0,971
0,3,1,1,1,2,3,-4,0,972
0,3,1,1,1,2,3,-4,0,973
0,3,1,1,1,2,3,-3,0,974
0,3,1,1,1,2,3,-3,0,975
0,3,1,1,1,2,3,-3,0,976
0,3,1,1,1,2,3,-3,0,977
0,3,1,1,1,2,3,-3,0,978
0,3,1,1,1,2,3,-3,0,979
0,3,1,1,1,2,3,-3,0,980
0,3,1,1,1,2,3,-3,0,981
0,3,1,1,1,2,3,-4,0,982
0,3,1,1,2,2,3,-4,0,983
0,3,1,1,2,2,3,-4,0,984
0,3,1,1,2,2,3,-4,0,985
0,3,1,1,2,2,4,-4,0,986
0,4,1,1,2,2,4,-4,0,987
0,4,1,1,2,2,4,-3,0,988
0,4,1,2,2,2,4,-3,0,989
0,4,1,2,2,2,4,-3,0,990
0,4,1,2,2,2,4,-3,0,991
0,4,1,2,2,2,4,-3,0,992
0,4,1,2,2,3,4,-3,0,993
0,4,1,2,2,3,4,-3,0,994
0,4,1,2,2,3,4,-2,0,995
0,5,1,2,3,3,4,-2,0,996
0,5,1,2,3,3,4,-2,0,997
0,5,1,3,3,3,4,-2,0,998
0,5,1,3,3,3,4,-2,0,999
0,5,1,3,3,3,4,-2,0,1000
0,5,1,3,3,3,4,-2,0,1001
0,5,1,3,3,3,4,-2,0,1002
0,5,1,3,3,4,4,-2,0,1003
0,5,1,3,3,4,4,-2,0,1004
0,5,1,3,3,4,4,-2,0,1005
0,5,1,3,3,3,4,-2,0,1006
0,5,1,3,2,3,4,-2,0,1007
1,5,1,2,2,3,4,-2,0,1008
1,4,1,2,2,3,4,-2,0,1009
1,4,1,2,1,3,4,-2,0,1010
1,3,1,2,1,2,4,-2,0,1011
1,3,1,2,0,2,3,-2,0,1012
1,2,0,2,0,2,3,-2,0,1013
1,2,0,2,0,2,4,-2,0,1014
1,2,0,2,0,3,4,-2,0,1015
1,2,0,2,1,4,5,-2,0,1016
2,2,0,3,2,5,7,-1,0,1017
3,3,1,4,4,7,9,0,0,1018
4,4,1,5,7,10,12,2,0,1019
6,7,1,7,10,14,16,4,0,1020
9,10,2,9,15,19,20,7,0,1021
12,14,4,12,21,24,26,10,0,1022
16,20,6,16,27,31,32,14,0,1023
21,26,8,21,35,39,39,19,0,1024
26,34,11,26,43,47,46,25,0,1025
32,42,14,32,51,55,54,31,0,1026
38,50,17,39,60,64,63,37,0,1027
46,60,21,46,70,74,72,44,0,1028
54,71,25,54,79,83,81,52,0,1029
62,82,28,61,89,92,90,60,0,1030
70,93,32,69,98,101,99,67,0,1031
78,103,36,76,107,109,107,75,0,1032
86,114,39,83,115,117,115,82,0,1033
93,124,43,90,122,123,122,89,0,1034
100,133,46,96,128,129,128,95,0,1035
106,141,48,101,133,134,133,100,0,1036
111,148,51,106,138,138,137,104,0,1037
115,154,52,109,141,142,141,108,0,1038
119,159,53,112,144,144,143,110,0,1039
121,162,54,114,145,145,145,112,0,1040
123,164,54,114,146,146,145,113,0,1041
123,165,54,114,146,146,145,112,0,1042
122,164,53,113,145,145,144,111,0,1043
120,161,51,110,144,143,142,109,0,1044
117,158,49,107,141,140,139,106,0,1045
113,153,47,103,138,136,136,102,0,1046
108,146,44,98,134,132,131,97,0,1047
102,139,41,92,128,126,126,92,0,1048
96,131,37,86,123,120,120,85,0,1049
89,121,34,79,116,112,113,79,0,1050
81,111,30,71,108,104,105,72,0,1051
73,100,26,64,100,96,97,65,0,1052
65,89,22,56,91,87,88,57,0,1053
57,78,19,48,82,77,79,50,0,1054
49,67,15,41,73,68,69,42,0,1055
41,57,12,34,63,58,60,35,0,1056
34,47,9,27,54,49,51,29,0,1057
27,39,7,21,46,41,43,23,0,1058
22,30,4,16,38,33,35,17,0,1059
17,23,2,12,30,26,27,12,0,1060
12,17,1,9,24,20,21,8,0,1061
9,11,0,6,18,15,15,4,0,1062
6,7,0,3,13,10,10,1,0,1063
3,4,0,1,9,7,6,-1,0,1064
2,1,-1,0,6,4,3,-2,0,1065
0,0,-1,0,3,2,1,-3,0,1066
0,-1,-1,0,2,1,0,-3,0,1067
0,-2,-1,0,1,0,0,-3,0,1068
0,-2,-1,0,0,0,-1,-3,0,1069
0,-2,-1,0,0,0,0,-2,0,1070
0,-1,-1,0,0,0,0,-1,0,1071
0,-1,0,0,0,1,0,-1,0,1072
0,0,0,0,0,1,1,0,0,1073
0,0,0,0,1,1,1,1,0,1074
0,0,0,0,1,2,2,2,0,1075
0,1,0,1,1,2,3,2,0,1076
0,1,0,1,2,2,3,3,0,1077
0,2,0,1,2,3,4,3,0,1078
0,2,0,1,2,3,4,3,0,1079
0,2,0,1,3,3,4,3,0,1080
0,3,0,1,3,4,4,4,0,1081
0,3,0,2,4,4,5,4,0,1082
0,4,0,2,5,5,5,4,0,1083
1,4,0,2,5,5,6,4,0,1084
2,5,0,2,6,6,6,4,0,1085
2,5,0,2,7,7,7,5,0,1086
3,6,0,2,8,8,7,5,0,1087
4,7,-1,2,8,9,8,6,0,1088
5,7,-1,2,7,9,8,6,0,1089
5,7,-2,1,6,8,8,6,0,1090
6,7,-3,0,4,7,7,5,0,1091
5,6,-4,-2,0,4,6,4,0,1092
5,5,-5,-4,-5,1,3,2,0,1093
3,2,-6,-6,-11,-5,-1,-1,0,1094
1,-1,-7,-9,-18,-11,-7,-5,0,1095
-2,-6,-7,-12,-26,-19,-14,-11,0,1096
-6,-12,-7,-15,-35,-28,-22,-18,0,1097
-11,-19,-6,-17,-42,-38,-31,-25,0,1098
-17,-27,-3,-18,-47,-46,-41,-34,0,1099
-24,-36,1,-17,-49,-53,-50,-42,0,1100
-30,-44,6,-12,-46,-56,-57,-49,0,1101
-36,-50,15,-4,-36,-54,-62,-54,0,1102
-40,-54,27,8,-18,-45,-62,-57,0,1103
-43,-54,41,24,9,-28,-57,-54,0,1104
-42,-49,57,46,46,-2,-44,-46,0,1105
-37,-38,74,73,93,36,-22,-31,0,1106
-27,-19,93,104,151,84,9,-8,0,1107
-12,7,113,138,218,145,49,24,0,1108
8,43,131,174,292,215,101,63,0,1109
34,87,147,209,370,295,162,112,0,1110
67,140,159,241,448,381,231,168,0,1111
104,200,166,268,524,470,306,230,0,1112
146,265,166,286,591,558,385,296,0,1113
190,334,158,293,647,642,464,364,0,1114
235,403,142,286,686,717,540,430,0,1115
280,470,116,264,706,779,609,493,0,1116
321,532,81,226,704,825,669,548,0,1117
359,586,38,171,679,852,715,594,0,1118
390,629,-12,101,630,858,747,628,0,1119
413,659,-69,18,560,842,761,648,0,1120
427,675,-130,-75,470,805,757,654,0,1121
432,676,-192,-175,366,748,736,645,0,1122
427,662,-253,-278,251,675,698,622,0,1123
412,633,-310,-378,132,588,646,585,0,1124
389,591,-359,-471,14,491,582,538,1024,1125
359,538,-400,-552,-98,390,509,482,0,1126
322,477,-430,-618,-198,289,431,419,0,1127
281,410,-448,-665,-283,191,351,354,0,1128
238,340,-453,-693,-349,102,272,288,0,1129
194,271,-446,-699,-396,23,198,224,0,1130
151,204,-428,-686,-422,-43,130,165,0,1131
111,143,-399,-653,-428,-94,71,112,0,1132
74,88,-363,-605,-417,-132,24,66,0,1133
42,42,-320,-545,-391,-155,-15,28,0,1134
17,4,-273,-475,-353,-166,-44,-2,0,1135
-4,-24,-226,-401,-307,-166,-63,-24,0,1136
-19,-45,-178,-326,-257,-158,-73,-39,0,1137
-30,-59,-134,-252,-206,-143,-77,-48,0,1138
-36,-65,-94,-185,-157,-124,-75,-52,0,1139
-39,-66,-59,-124,-111,-102,-70,-51,0,1140
-39,-64,-29,-72,-72,-81,-61,-48,0,1141
-36,-58,-6,-30,-38,-60,-52,-44,0,1142
-32,-50,9,3,-12,-42,-42,-38,0,1143
-28,-42,21,25,7,-27,-33,-32,0,1144
-23,-34,29,41,20,-15,-24,-26,0,1145
-18,-26,32,50,28,-6,-17,-21,0,1146
-13,-19,33,53,32,1,-12,-17,0,1147
-10,-14,31,53,32,4,-8,-14,0,1148
-7,-10,29,50,31,6,-5,-11,0,1149
-4,-7,25,45,28,7,-3,-9,0,1150
-3,-5,21,39,24,6,-2,-8,0,1151
-2,-3,18,34,20,5,-2,-8,0,1152
-1,-3,15,29,17,3,-2,-7,0,1153
-1,-3,13,24,14,1,-2,-7,0,1154
-1,-3,11,21,11,0,-2,-7,0,1155
-1,-3,9,18,10,-1,-2,-8,0,1156
-1,-4,9,16,9,-2,-3,-8,0,1157
-1,-4,8,14,8,-3,-3,-8,0,1158
-1,-5,8,14,8,-3,-3,-8,0,1159
-1,-5,8,13,8,-3,-3,-8,0,1160
-2,-5,8,13,8,-3,-3,-8,0,1161
-2,-5,8,13,8,-3,-3,-8,0,1162
-2,-5,8,13,8,-3,-3,-8,0,1163
-2,-5,8,13,8,-3,-3,-8,0,1164
-2,-5,8,13,8,-3,-3,-8,0,1165
-2,-5,8,13,9,-3,-3,-8,0,1166
-2,-5,8,13,9,-2,-3,-8,0,1167
-1,-4,8,13,9,-2,-3,-8,0,1168
-1,-4,8,13,9,-2,-3,-8,0,1169
-1,-4,8,13,9,-2,-3,-8,0,1170
-1,-4,8,13,9,-2,-3,-8,0,1171
-1,-4,8,13,9,-2,-3,-8,0,1172
-1,-4,8,13,9,-2,-3,-8,0,1173
-1,-4,8,13,9,-1,-3,-8,0,1174
-1,-4,8,13,9,-1,-3,-8,0,1175
-1,-4,8,13,9,-1,-3,-8,0,1176
-1,-3,8,13,9,-1,-2,-8,0,1177
-1,-3,8,13,9,-1,-2,-8,0,1178
