I,II,V1,V2,V3,V4,V5,V6,status,x
-2,-5,22,39,23,5,-1,-9,0,145
-1,-4,18,33,19,3,-1,-9,0,146
-1,-3,15,28,16,2,-1,-9,0,147
-1,-3,13,23,13,0,-1,-9,0,148
-1,-4,11,20,10,-1,-1,-9,0,149
-1,-4,10,17,9,-2,-2,-9,0,150
-1,-4,9,15,7,-3,-2,-9,0,151
-1,-5,9,13,7,-4,-2,-9,0,152
-1,-5,8,13,6,-4,-2,-9,0,153
-1,-5,8,12,6,-4,-3,-9,0,154
-2,-5,8,12,6,-4,-3,-9,0,155
-2,-5,8,12,6,-4,-3,-9,0,156
-1,-5,8,12,7,-4,-2,-9,0,157
-1,-5,8,12,7,-4,-2,-9,0,158
-1,-5,8,12,7,-3,-2,-9,0,159
-1,-5,8,12,7,-3,-2,-9,0,160
-1,-5,8,13,7,-3,-2,-9,0,161
-1,-5,8,13,7,-3,-2,-9,0,162
-1,-5,8,13,7,-3,-2,-9,0,163
-1,-5,8,13,7,-3,-2,-9,0,164
-1,-5,8,13,7,-3,-2,-9,0,165
-1,-4,8,13,7,-3,-2,-9,0,166
0,-4,8,13,7,-3,-2,-9,0,167
0,-4,8,13,7,-3,-2,-9,0,168
0,-4,8,13,7,-3,-2,-9,0,169
0,-4,8,13,7,-2,-2,-9,0,170
0,-4,8,13,7,-2,-2,-9,0,171
0,-4,8,13,8,-2,-2,-8,0,172
0,-4,8,13,8,-2,-2,-8,0,173
0,-4,8,13,8,-2,-2,-8,0,174
0,-4,8,13,8,-2,-2,-8,0,175
0,-4,8,13,8,-2,-1,-8,0,176
0,-3,8,13,8,-2,-1,-8,0,177
0,-3,8,12,8,-1,-1,-8,0,178
0,-3,8,12,8,-1,-1,-8,0,179
0,-3,8,12,8,-1,-1,-8,0,180
0,-3,7,12,8,-1,-1,-8,0,181
0,-3,7,12,8,-1,-1,-8,0,182
0,-3,7,12,7,-2,-1,-8,0,183
-1,-3,7,11,7,-2,-1,-9,0,184
-1,-4,7,11,6,-2,-1,-9,0,185
-1,-4,7,11,5,-2,-1,-9,0,186
-1,-4,7,11,5,-3,-1,-9,0,187
-1,-4,7,10,5,-3,-1,-9,0,188
-1,-4,6,10,4,-3,-1,-9,0,189
-1,-4,6,10,5,-3,-1,-9,0,190
0,-4,6,10,6,-3,-1,-8,0,191
0,-3,6,11,7,-2,-1,-7,0,192
1,-2,6,11,10,0,0,-6,0,193
2,-1,7,12,13,2,0,-5,0,194
4,1,7,14,18,6,1,-3,0,195
6,4,8,15,24,10,2,-1,0,196
8,8,9,17,32,15,4,2,0,197
12,12,10,20,40,22,7,6,0,198
16,17,12,23,50,30,10,10,0,199
20,23,14,27,61,39,14,14,0,200
25,30,17,32,74,49,18,19,0,201
30,38,19,37,89,59,24,25,0,202
37,45,22,42,104,71,29,31,0,203
44,55,26,48,120,84,36,37,0,204
51,64,29,55,138,98,43,44,0,205
59,75,33,63,156,113,50,51,0,206
67,85,37,71,174,129,58,58,0,207
75,96,41,79,193,145,67,66,0,208
84,107,44,88,212,162,76,73,0,209
92,119,48,98,232,178,86,81,0,210
101,130,52,108,251,196,97,89,0,211
110,141,56,118,270,213,107,97,0,212
118,152,59,129,289,230,118,104,0,213
126,163,63,140,307,247,129,112,0,214
134,174,66,151,325,263,140,119,0,215
142,184,69,162,343,279,152,127,0,216
149,194,72,173,360,295,163,134,0,217
156,204,75,184,376,310,174,140,0,218
163,213,78,195,392,324,185,147,0,219
169,222,80,206,407,337,195,153,0,220
175,231,83,216,421,350,205,159,0,221
181,239,85,225,434,362,215,165,0,222
187,247,87,234,447,373,224,170,0,223
192,254,89,242,459,383,232,175,0,224
197,261,91,249,470,393,239,180,0,225
202,268,93,256,481,402,246,184,0,226
206,274,95,262,490,410,251,188,0,227
210,279,96,267,499,417,257,191,0,228
214,284,98,271,508,424,261,195,0,229
217,289,99,275,515,430,265,197,0,230
219,293,100,278,521,435,268,200,0,231
222,296,101,281,527,440,271,202,0,232
224,299,102,283,532,444,273,203,0,233
226,301,103,285,536,447,275,205,0,234
227,302,104,286,538,450,276,206,0,235
228,303,104,288,540,452,277,206,0,236
229,304,105,288,540,453,278,206,0,237
230,304,105,289,539,453,279,206,0,238
230,304,105,289,537,452,279,206,0,239
230,303,105,289,534,450,279,205,0,240
229,302,105,288,529,447,279,204,0,241
228,300,105,287,523,443,278,202,0,242
226,297,104,286,515,437,276,200,0,243
224,295,103,284,507,431,275,198,0,244
222,291,102,281,497,423,272,196,0,245
218,287,100,278,486,414,269,193,0,246
214,282,98,274,474,404,266,190,0,247
210,276,96,270,461,393,262,186,0,248
205,270,93,265,447,381,257,182,0,249
199,263,90,259,432,368,251,177,0,250
193,255,86,253,416,354,245,172,0,251
186,247,83,246,400,339,239,166,0,252
178,238,79,239,382,324,231,160,0,253
170,227,75,230,364,307,223,153,0,254
162,217,70,221,345,290,214,146,0,255
153,205,66,211,326,272,204,138,0,256
143,193,61,201,305,254,194,130,0,257
134,181,56,190,284,235,183,121,0,258
123,168,52,178,262,216,171,112,0,259
113,154,47,165,240,197,159,102,0,260
103,140,42,152,217,177,146,93,0,261
92,127,38,139,194,157,133,83,0,262
82,113,33,125,171,138,119,73,0,263
71,99,28,111,148,118,106,64,0,264
61,86,24,97,126,100,92,55,0,265
51,73,19,84,105,81,78,46,0,266
42,60,15,70,85,64,65,37,0,267
33,48,11,58,66,49,53,30,0,268
25,38,8,46,49,35,42,22,0,269
18,28,5,36,34,21,31,15,0,270
11,18,2,26,20,9,21,9,0,271
5,10,1,17,8,-1,12,3,0,272
0,3,-1,10,-2,-9,4,-2,0,273
-4,-3,-3,4,-10,-16,-1,-7,0,274
-7,-9,-4,0,-17,-22,-7,-11,0,275
-10,-13,-5,-4,-22,-26,-11,-14,0,276
-12,-16,-6,-8,-26,-29,-15,-16,0,277
-14,-19,-6,-10,-29,-31,-17,-18,0,278
-15,-20,-6,-12,-30,-32,-19,-19,0,279
-15,-21,-6,-13,-31,-33,-20,-20,0,280
-16,-22,-6,-13,-31,-32,-20,-20,0,281
-16,-22,-6,-14,-31,-32,-21,-20,0,282
-16,-22,-6,-13,-31,-31,-20,-20,0,283
-16,-22,-6,-13,-30,-30,-20,-19,0,284
-16,-21,-5,-12,-29,-29,-20,-19,0,285
-15,-21,-5,-12,-28,-28,-19,-18,0,286
-15,-20,-5,-11,-27,-27,-19,-18,0,287
-15,-20,-5,-11,-27,-27,-18,-17,0,288
-15,-19,-5,-10,-26,-26,-18,-16,0,289
-15,-19,-5,-10,-26,-25,-18,-16,0,290
-15,-18,-5,-9,-25,-25,-17,-16,0,291
-15,-18,-5,-9,-25,-25,-17,-15,0,292
-15,-17,-5,-9,-24,-24,-17,-15,0,293
-15,-17,-5,-9,-24,-24,-16,-15,0,294
-15,-16,-5,-9,-23,-23,-16,-15,0,295
-15,-15,-4,-9,-23,-23,-15,-15,0,296
-14,-15,-4,-8,-22,-22,-14,-15,0,297
-14,-14,-4,-8,-22,-22,-14,-15,0,298
-14,-14,-4,-8,-21,-21,-13,-15,0,299
-13,-13,-4,-8,-20,-21,-12,-15,0,300
-13,-12,-4,-8,-20,-20,-11,-15,0,301
-13,-12,-4,-8,-19,-20,-11,-14,0,302
-12,-11,-4,-8,-19,-19,-10,-14,0,303
-12,-11,-4,-8,-19,-19,-10,-14,0,304
-12,-11,-4,-8,-18,-18,-10,-14,0,305
-12,-10,-4,-8,-18,-18,-9,-14,0,306
-12,-10,-4,-8,-18,-18,-9,-14,0,307
-12,-10,-4,-8,-18,-18,-9,-14,0,308
-12,-10,-4,-8,-18,-17,-9,-14,0,309
-12,-10,-4,-8,-18,-17,-9,-14,0,310
-12,-10,-4,-7,-17,-17,-9,-14,0,311
-12,-10,-4,-7,-17,-17,-9,-14,0,312
-12,-9,-4,-7,-17,-17,-8,-13,0,313
-12,-9,-4,-7,-17,-17,-8,-13,0,314
-12,-9,-3,-7,-17,-17,-8,-13,0,315
-12,-9,-3,-7,-17,-17,-8,-13,0,316
-12,-9,-3,-7,-17,-16,-8,-13,0,317
-12,-9,-3,-7,-16,-16,-8,-13,0,318
-12,-9,-3,-7,-16,-16,-8,-13,0,319
-11,-9,-3,-7,-16,-16,-8,-13,0,320
-11,-9,-3,-7,-16,-16,-8,-13,0,321
-11,-9,-3,-7,-16,-16,-8,-13,0,322
-11,-9,-3,-7,-16,-16,-8,-13,0,323
-11,-9,-3,-7,-16,-16,-8,-13,0,324
-11,-9,-3,-7,-16,-16,-7,-13,0,325
-11,-8,-3,-7,-15,-16,-7,-12,0,326
-11,-8,-3,-7,-15,-16,-7,-12,0,327
-11,-8,-3,-7,-15,-16,-7,-12,0,328
-11,-8,-3,-7,-15,-15,-7,-12,0,329
-11,-8,-3,-7,-15,-15,-7,-12,0,330
-10,-8,-3,-7,-15,-15,-7,-12,0,331
-10,-8,-3,-6,-15,-15,-7,-12,0,332
-10,-7,-3,-6,-15,-15,-7,-12,0,333
-10,-7,-3,-6,-14,-15,-6,-12,0,334
-10,-7,-3,-6,-14,-15,-6,-12,0,335
-9,-7,-3,-6,-14,-15,-6,-12,0,336
